Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
clear,1.0,,,,,,,,,,,,,
within,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
indicate,1.0,,,,,,,,,,,,,
mediastinal,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
pneumothorax,,,,,,,,,,1.0,,,,
effusion,,,,,,,,,,,1.0,,,
pleural,1.0,,,,,,,,,,,,,
projecting,1.0,,,,,,,,,,,,,
moderate,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
heart,1.0,,,,,,,,,,,,,
or,1.0,,,,,,,,,,,,,
remain,1.0,,,,,,,,,,,,,
size,1.0,,,,,,,,,,,,,
lung.,1.0,,,,,,,,,,,,,
lung,1.0,,,,,,,,,,,,,
and,1.0,,,,,,,,,,,,,
bilaterally.,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
change.,1.0,,,,,,,,,,,,,
position.,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
remain,1.0,,,,,,,,,,,,,
pericardial,1.0,,,,,,,,,,,,,
cardiomediastinal,1.0,,,,,,,,,,,,,
within,1.0,,,,,,,,,,,,,
loss/,1.0,,,,,,,,,,,,,
of,1.0,,,,,,,,,,,,,
no,1.0,,,,,,,,,,,,,
noted,1.0,,,,,,,,,,,,,
tortuous,1.0,,,,,,,,,,,,,
the,1.0,,,,,,,,,,,,,
pulmonary,1.0,,,,,,,,,,,,,
5.6,1.0,,,,,,,,,,,,,
left-sided,1.0,,,,,,,,,,,,,
is,1.0,,,,,,,,,,,,,
effusion,,,,,,,,,,,1.0,,,
low.,1.0,,,,,,,,,,,,,
and,1.0,,,,,,,,,,,,,
positional,1.0,,,,,,,,,,,,,
focal,1.0,,,,,,,,,,,,,
or,1.0,,,,,,,,,,,,,
osseous,1.0,,,,,,,,,,,,,
mid,1.0,,,,,,,,,,,,,
apparent.,1.0,,,,,,,,,,,,,
clear,1.0,,,,,,,,,,,,,
lower,1.0,,,,,,,,,,,,,
large,1.0,,,,,,,,,,,,,
